"weeks" "WA"
1 0
2 0
3 0
4 2.38285714285714
5 5.56
6 5.56
7 9.52428571428571
8 11.11
9 17.8571428571429
10 25
11 32.2742857142857
12 56.3485714285714
13 76.85
14 76.85
15 76.85
16 76.85
17 76.85
18 76.6514285714286
19 66.7314285714286
20 63.5557142857143
21 59.9842857142857
22 59.72
23 59.72
24 59.72
25 61.84
26 63.43
27 63.43
28 56.2814285714286
29 55.09
30 55.09
31 56.2814285714286
32 57.8685714285714
33 56.94
34 56.94
35 59.72
36 55.0928571428571
37 49.54
38 49.54
39 49.54
40 49.54
41 49.54
42 54.8314285714286
43 59.8571428571429
44 60.65
45 62.04
46 62.04
47 62.04
48 62.04
49 67.59
50 67.59
51 79.2342857142857
52 82.41
53 82.41
54 84.5271428571428
55 83.33
56 83.33
57 83.33
58 83.33
59 83.33
60 83.33
61 81.48
62 77.78
63 77.78
64 76.9857142857143
65 75
66 75
67 75
68 75
69 75
70 75
71 75
72 75
73 75
74 75
75 69.1757142857143
76 67.59
77 67.59
78 67.59
